City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.55,93.0,100.0,14.98,TF,1726707102.0
1,st anne,49.715,-2.2042,17.09,94.0,75.0,8.23,GG,1726707102.0
2,suva,-18.1416,178.4415,24.71,61.0,75.0,3.6,FJ,1726707102.0
3,adamstown,-25.066,-130.1015,21.35,76.0,41.0,2.0,PN,1726706863.0
4,tolanaro,-25.0319,46.9987,22.04,88.0,0.0,8.23,MG,1726707102.0
5,isafjordur,66.0755,-23.124,0.25,85.0,82.0,5.02,IS,1726707102.0
6,atafu village,-8.5421,-172.5159,27.57,69.0,4.0,0.93,TK,1726707103.0
7,iskateley,67.6803,53.1512,9.53,93.0,100.0,1.45,RU,1726707103.0
8,wailua homesteads,22.0669,-159.378,29.44,73.0,20.0,6.17,US,1726707103.0
9,puerto natales,-51.7236,-72.4875,0.37,86.0,13.0,1.91,CL,1726706847.0
10,west bay,19.3667,-81.4167,30.04,74.0,20.0,2.57,KY,1726707103.0
11,tiksi,71.6872,128.8694,1.0,96.0,100.0,7.08,RU,1726707104.0
12,saint-francois,46.4154,3.9054,7.69,100.0,2.0,1.03,FR,1726707104.0
13,nova sintra,14.8667,-24.7167,27.47,70.0,33.0,1.41,CV,1726707104.0
14,puerto baquerizo moreno,-0.9,-89.6,20.74,80.0,100.0,6.36,EC,1726707104.0
15,papatowai,-46.5619,169.4708,9.22,88.0,100.0,5.55,NZ,1726707104.0
16,urzhar,47.093,81.6294,10.3,27.0,0.0,2.79,KZ,1726707104.0
17,qaqortoq,60.7167,-46.0333,5.67,59.0,100.0,2.31,GL,1726707105.0
18,bilibino,68.0546,166.4372,2.85,74.0,87.0,1.09,RU,1726707105.0
19,lycksele,64.5954,18.6735,8.93,100.0,7.0,0.0,SE,1726707105.0
20,toga village,,,,,,,,
21,porto novo,6.4965,2.6036,24.86,88.0,100.0,4.06,BJ,1726707105.0
22,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,82.0,75.0,1.0,RU,1726707107.0
23,san patricio,28.017,-97.5169,30.97,68.0,6.0,5.35,US,1726707107.0
24,barah,13.7,30.3667,28.42,61.0,1.0,3.25,SD,1726707107.0
25,yellowknife,62.456,-114.3525,13.01,78.0,75.0,6.17,CA,1726707107.0
26,floro,61.5996,5.0328,12.98,94.0,99.0,3.09,NO,1726707107.0
27,soanierana ivongo,-16.9167,49.5833,19.66,91.0,41.0,1.25,MG,1726707108.0
28,shimo-furano,43.35,142.3833,20.57,59.0,1.0,4.29,JP,1726707108.0
29,upata,8.0086,-62.3989,22.65,94.0,81.0,1.68,VE,1726707108.0
30,taltal,-25.4,-70.4833,16.21,71.0,0.0,2.56,CL,1726706824.0
31,yaren,-0.5472,166.916,28.34,66.0,1.0,2.69,NR,1726707108.0
32,albany,42.6001,-73.9662,19.4,69.0,100.0,1.23,US,1726707021.0
33,keflavik,64.0049,-22.5624,5.24,81.0,75.0,5.66,IS,1726707109.0
34,remire-montjoly,4.9167,-52.2667,26.02,89.0,0.0,2.06,GF,1726707109.0
35,irymple,-34.25,142.1667,18.94,50.0,0.0,0.89,AU,1726707109.0
36,waitangi,-43.9535,-176.5597,12.68,78.0,8.0,3.58,NZ,1726707109.0
37,barpeta,26.3167,91.0,28.44,78.0,7.0,0.4,IN,1726706942.0
38,shirvan,39.9509,48.8994,18.6,63.0,100.0,3.92,AZ,1726707109.0
39,yarmouth,41.7057,-70.2286,19.23,92.0,0.0,2.24,US,1726707109.0
40,ushuaia,-54.8,-68.3,5.81,45.0,40.0,7.2,AR,1726707110.0
41,broken hill,-31.95,141.4333,19.42,19.0,0.0,7.29,AU,1726707110.0
42,puerto ayora,-0.7393,-90.3518,20.8,81.0,99.0,4.94,EC,1726707110.0
43,opuwo,-18.0607,13.84,17.54,32.0,4.0,1.77,NA,1726707110.0
44,grytviken,-54.2811,-36.5092,-1.42,77.0,22.0,6.37,GS,1726707110.0
45,yagry,,,,,,,,
46,turan,16.0678,108.2208,24.99,94.0,75.0,2.06,VN,1726707111.0
47,curuca,-0.7289,-47.8481,25.61,79.0,0.0,2.14,BR,1726707111.0
48,ornskoldsvik,63.2909,18.7153,13.53,88.0,6.0,2.57,SE,1726707111.0
49,pasuquin,18.3328,120.6177,27.97,89.0,75.0,2.06,PH,1726707111.0
50,meadow lakes,61.6247,-149.6011,10.93,85.0,75.0,1.54,US,1726707111.0
51,iqaluit,63.7506,-68.5145,2.85,86.0,75.0,5.14,CA,1726707111.0
52,surskoye,54.4821,46.7214,13.56,48.0,99.0,2.16,RU,1726707111.0
